Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
130390,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01/01/2005,58.2,
130391,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01/01/2005,43,
130392,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01/01/2005,101.1,
130393,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,01/01/2005,65.6,
130394,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,01/01/2005,80.3,
130395,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,503,Willowbrook,2005-2007,01/01/2005,73.8,
130396,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,01/01/2005,65,
130397,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,17.6,
130398,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,102,Northeast Bronx,2013,01/01/2013,2.2,
130399,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,24.5,
130400,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,4.4,
130401,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,105,Crotona - Tremont,2013,01/01/2013,16.9,
130402,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,19.7,
130403,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,3.3,
130404,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,201,Greenpoint,2013,01/01/2013,0.4,
130405,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.8,
130406,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.9,
130407,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,204,East New York,2013,01/01/2013,0.1,
130408,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,205,Sunset Park,2013,01/01/2013,0.1,
130409,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,206,Borough Park,2013,01/01/2013,1.5,
130410,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,2.3,
130411,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0,
130412,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7,
130413,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9,
130414,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.3,
130415,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,301,Washington Heights,2013,01/01/2013,51,
130416,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,15.7,
130417,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,303,East Harlem,2013,01/01/2013,11.6,
130418,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,304,Upper West Side,2013,01/01/2013,99.7,
130419,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,305,Upper East Side,2013,01/01/2013,95,
130420,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,306,Chelsea - Clinton,2013,01/01/2013,67.4,
130421,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,78.8,
130422,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,32.9,
130423,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,24.9,
130424,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,310,Lower Manhattan,2013,01/01/2013,13.7,
130425,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,401,Long Island City - Astoria,2013,01/01/2013,6.7,
130426,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,402,West Queens,2013,01/01/2013,2.3,
130427,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,403,Flushing - Clearview,2013,01/01/2013,5.1,
130428,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,404,Bayside - Little Neck,2013,01/01/2013,1.6,
130429,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,2.7,
130430,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,406,Fresh Meadows,2013,01/01/2013,4.3,
130431,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,407,Southwest Queens,2013,01/01/2013,0.8,
130432,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,408,Jamaica,2013,01/01/2013,0.5,
130433,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,409,Southeast Queens,2013,01/01/2013,0.3,
130434,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,410,Rockaways,2013,01/01/2013,0,
130435,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,501,Port Richmond,2013,01/01/2013,0,
130436,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.4,
130437,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,503,Willowbrook,2013,01/01/2013,0,
130438,640,Boiler emissions (SO2),Tons,per square kilometer,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0,
130439,640,Boiler emissions (SO2),Tons,per square kilometer,Citywide,1,New York City,2013,01/01/2013,6.1,
130440,640,Boiler emissions (SO2),Tons,per square kilometer,Borough,1,Bronx,2013,01/01/2013,10.3,
130441,640,Boiler emissions (SO2),Tons,per square kilometer,Borough,2,Brooklyn,2013,01/01/2013,0.8,
130442,640,Boiler emissions (SO2),Tons,per square kilometer,Borough,3,Manhattan,2013,01/01/2013,50.6,
130443,640,Boiler emissions (SO2),Tons,per square kilometer,Borough,4,Queens,2013,01/01/2013,2.2,
130444,640,Boiler emissions (SO2),Tons,per square kilometer,Borough,5,Staten Island,2013,01/01/2013,0.1,
130487,641,Boiler emissions (PM2.5),Tons,per square kilometer,Citywide,1,New York City,2013,01/01/2013,0.7,
130685,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,101,Kingsbridge - Riverdale,2005,01/01/2005,2.9,
130686,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,102,Northeast Bronx,2005,01/01/2005,2.8,
130687,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,103,Fordham - Bronx Pk,2005,01/01/2005,2.7,
130688,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,104,Pelham - Throgs Neck,2005,01/01/2005,2.7,
130689,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,105,Crotona - Tremont,2005,01/01/2005,3,
130690,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,106,High Bridge - Morrisania,2005,01/01/2005,3,
130691,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,107,Hunts Point - Mott Haven,2005,01/01/2005,2.8,
130692,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,201,Greenpoint,2005,01/01/2005,3.7,
130693,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,202,Downtown - Heights - Slope,2005,01/01/2005,3.7,
130694,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,01/01/2005,2.5,
130695,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,204,East New York,2005,01/01/2005,2.3,
130696,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,205,Sunset Park,2005,01/01/2005,3.2,
130697,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,206,Borough Park,2005,01/01/2005,2.5,
130698,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,207,East Flatbush - Flatbush,2005,01/01/2005,2.3,
130699,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,208,Canarsie - Flatlands,2005,01/01/2005,2.4,
130700,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,209,Bensonhurst - Bay Ridge,2005,01/01/2005,2.8,
130701,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,210,Coney Island - Sheepshead Bay,2005,01/01/2005,2.4,
130702,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,211,Williamsburg - Bushwick,2005,01/01/2005,2.8,
130703,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,301,Washington Heights,2005,01/01/2005,4.1,
130704,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,302,Central Harlem - Morningside Heights,2005,01/01/2005,3.9,
130705,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,303,East Harlem,2005,01/01/2005,4.2,
130706,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,304,Upper West Side,2005,01/01/2005,3.9,
130707,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,305,Upper East Side,2005,01/01/2005,4.5,
130708,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,306,Chelsea - Clinton,2005,01/01/2005,4.9,
130709,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,307,Gramercy Park - Murray Hill,2005,01/01/2005,5.3,
130710,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,308,Greenwich Village - SoHo,2005,01/01/2005,4.7,
130711,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,309,Union Square - Lower East Side,2005,01/01/2005,5,
130712,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,310,Lower Manhattan,2005,01/01/2005,6.3,
130713,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,401,Long Island City - Astoria,2005,01/01/2005,2.7,
130714,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,402,West Queens,2005,01/01/2005,2.2,
130715,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,403,Flushing - Clearview,2005,01/01/2005,1.9,
130716,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,404,Bayside - Little Neck,2005,01/01/2005,1.9,
130717,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,405,Ridgewood - Forest Hills,2005,01/01/2005,2,
130718,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,406,Fresh Meadows,2005,01/01/2005,1.7,
130719,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,407,Southwest Queens,2005,01/01/2005,1.8,
130720,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,408,Jamaica,2005,01/01/2005,1.8,
130721,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,409,Southeast Queens,2005,01/01/2005,1.8,
130722,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,410,Rockaways,2005,01/01/2005,1.4,
130723,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,501,Port Richmond,2005,01/01/2005,2.5,
130724,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,502,Stapleton - St. George,2005,01/01/2005,1.3,
130725,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,503,Willowbrook,2005,01/01/2005,1.6,
130726,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,504,South Beach - Tottenville,2005,01/01/2005,1.1,
130727,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Citywide,1,New York City,2005,01/01/2005,2.9,
130728,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Borough,1,Bronx,2005,01/01/2005,2.8,
130729,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Borough,2,Brooklyn,2005,01/01/2005,2.8,
130730,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Borough,3,Manhattan,2005,01/01/2005,4.7,
130731,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Borough,4,Queens,2005,01/01/2005,1.9,
130732,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,Borough,5,Staten Island,2005,01/01/2005,1.6,
130733,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,101,Kingsbridge - Riverdale,2005,01/01/2005,3.2,
130734,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,102,Northeast Bronx,2005,01/01/2005,3.2,
130735,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,103,Fordham - Bronx Pk,2005,01/01/2005,3.2,
130736,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,104,Pelham - Throgs Neck,2005,01/01/2005,3.2,
130737,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,105,Crotona - Tremont,2005,01/01/2005,3.4,
130738,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,106,High Bridge - Morrisania,2005,01/01/2005,3.6,
130739,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,107,Hunts Point - Mott Haven,2005,01/01/2005,3.5,
130740,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,201,Greenpoint,2005,01/01/2005,3.5,
130741,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,202,Downtown - Heights - Slope,2005,01/01/2005,3.2,
130742,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,01/01/2005,3,
130743,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,204,East New York,2005,01/01/2005,2.8,
130744,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,205,Sunset Park,2005,01/01/2005,3.2,
130745,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,206,Borough Park,2005,01/01/2005,2.9,
130746,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,207,East Flatbush - Flatbush,2005,01/01/2005,2.8,
130747,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,208,Canarsie - Flatlands,2005,01/01/2005,2.8,
